Project,Classical Software GUI Interactions,Walk/Rotate/Jump,Shoot/Fire/Attack,Inventory,Dialogue,Grab/Release/Throw/Place,Trigger/Pull/Press Button/Switch,Socket,Teleport/Locomotion,Ray Interactor / XR GUI Interaction,Hand Gesture Interaction
0x0B-unity-vr_room,3,0,0,0,0,3,2,0,2,1,2
5A-Prototype-VR,51,28,12,0,6,57,11,0,7,23,22
6-Unity-VR-FactoryFrenzy,15,21,8,0,0,30,9,2,15,7,2
AI-NPC-in-VR-Prototype,62,2,0,0,4,12,13,0,6,24,0
Alexandria,19,4,5,0,0,21,8,0,4,8,2
ar-resilience-planner-v2,4,0,0,0,0,2,2,0,0,2,4
Arcadium,4,0,1,0,0,7,0,0,3,3,3
ARKADIUS,33,8,0,0,0,31,4,0,4,15,6
Batting-Simulator,11,8,3,0,0,18,8,0,4,6,20
BowlingVR,12,2,3,0,0,16,13,0,7,3,0
bpr2,20,13,63,0,0,18,16,0,6,6,0
bworkacikart,3,6,3,0,0,6,5,0,4,3,2
Castle-Quest-The-Search-For-The-Treasure,21,17,45,0,0,34,23,8,20,11,16
classroom-vr,4,4,0,0,0,2,0,0,0,2,5
CMP3754M-virtual-reality-assessment,0,0,2,0,0,5,1,0,1,0,4
CSAssessmentFramework,53,10,0,0,0,12,10,0,10,23,4
dotpool-unity,2,6,0,0,0,6,3,0,3,3,7
EsACT-IPB-Tour-VR-Project,9,4,0,0,0,1,7,0,3,3,0
EscapeQuest,2,3,10,0,0,6,9,0,5,6,6
ExPresS-XR,74,12,15,0,0,41,21,5,31,26,1
Faraday-experiment-VR,4,0,0,0,0,2,2,0,0,2,0
freiheit-diy,37,40,9,0,1,90,16,0,4,17,47
Fruit-Ninja-VR-Unity,12,8,21,0,0,20,4,2,3,6,10
GAS_VR,7,2,9,0,0,17,15,0,16,6,10
GOON,12,8,10,0,0,1,3,0,1,3,4
Grapple-Gunner,2,0,6,0,0,12,0,0,1,1,2
Graveyard-Roller-Coaster,0,0,0,0,0,0,0,0,0,0,0
HoanKiemAirVR-Unity,125,32,12,0,1,131,36,0,8,51,97
HorrorGame,30,11,0,0,0,38,21,0,0,15,0
HyperFightVR,4,2,6,0,0,2,3,0,0,2,4
Island-Visualizer-PCVR,18,28,13,2,0,24,3,0,1,12,0
