Project,UnityVersion,Scripts,LOC,Files,Scenes,GameObjects
HoanKiemAirVR-Unity,2022.3.5f1,1842,234631,4021,128,220257
5A-Prototype-VR,2019.4.10f1,471,81890,1869,51,31681
Vr-Polyhistory,2020.3.3f1,121,17407,1655,38,15771
LightDiskVR,2020.3.26f1,144,6522,755,40,12656
VRobot,2021.1.3f1,646,106443,2442,27,11742
La-volonte-de-fer,2021.3.16f1,636,41708,1611,6,11523
wind-turbine-vr,2021.2.16f1,123,9447,781,25,10980
RocketMan-a-VR-videogame-created-with-Unity,2020.3.32f1,959,137415,4062,86,10869
Orb-Odyssey,2022.3.8f1,323,48978,3068,61,10053
VRHackaton_UnityGame,2021.3.12f1,1210,173866,2899,79,9024
VREscapeDungeon,2022.3.10f1,83,8171,1122,34,8646
*EscapeGameVR,2021.3.16f1,91,6659,1377,44,8256
freiheit-diy,2020.3.31f1,1157,168127,1894,48,7853
Kindled-Spirits-VR,2020.3.13f1,86,8874,3109,67,6892
TryNotDie,2022.3.45f1,151,15755,1289,12,5907
VRMod,2020.3.25f1,117,7062,1922,24,4511
Castle-Quest-The-Search-For-The-Treasure,2021.3.17f1,128,13142,5303,22,4436
vr_selection,2020.3.29f1,120,11880,533,26,3910
Unity-Learn-VR-Development-Pathway,2021.3.27f1,109,9381,947,35,3886
ymiyp-vr,2022.3.8f1,29,4807,1048,10,3372
MRIExperience,2022.3.22f1,111,11980,691,33,3233
ExPresS-XR,2022.3.35f1,251,30496,1469,42,3184
Grapple-Gunner,2020.3.23f1,48,4612,992,7,3170
ARKADIUS,2021.3.16f1,68,4683,859,28,3138
Rac-VR,2022.3.5f1,2004,237725,3599,17,3112
VR,2021.3.21f1,78,3787,904,19,3001
VR-Tactical-Hero-Shooter,2020.3.13f1,68,5556,625,33,2967
VR-Room---Eduardo-A,2021.3.9f1,71,2838,767,4,2638
TowerDefenseVR,2022.3.26f1,65,7197,1406,23,2495
GAS_VR,2021.3.6f1,69,3155,1061,5,2362
*VR-Basics,2021.3.4f1,62,2677,724,5,2143
HorrorGame,2022.3.25f1,82,6112,1484,28,2135
LatheMachine-VR,2022.3.38f1,90,14327,616,35,2066
wheelchair-sim,2020.3.30f1,26,989,188,7,2005
PirateRushVR,2022.3.11f1,147,14244,1204,60,1959
Fruit-Ninja-VR-Unity,2021.3.16f1,106,12183,1708,10,1824
bpr2,2022.3.10f1,106,11997,1681,17,1666
*VGuns,2020.3.39f1,81,10900,848,36,1653
Space-Odyssey,2022.3.15f1,102,10190,1225,23,1612
AI-NPC-in-VR-Prototype,2022.3.20f1,55,6057,361,33,1566
Modern-Cupid-VR,2021.3.27f1,951,69142,2130,34,1550
Parkinson-App-Virtual-Reality,2021.3.1f1,132,13957,819,33,1540
*Edutainment-Escape-Room,2020.3.33f1,88,4450,1063,8,1517
CSAssessmentFramework,2021.3.11f1,131,16974,526,38,1516
PaperVision,2021.3.20f1,94,10151,969,4,1440
classroom-vr,2021.2.8f1,33,9294,668,4,1423
BowlingVR,2022.3.10f1,25,2530,382,4,1415
vr-handwriting,2021.3.26f1,17,1784,378,7,1343
Island-Visualizer-PCVR,2021.3.24f1,366,37745,820,28,1303
Unity-VRTemplate1-KUIL,2022.3.17f1,49,5800,301,32,1279
Alexandria,2023.1.12f1,72,12187,1099,8,1266
vr-brush,2020.3.20f1,35,6454,213,9,1251
VRCAD,2022.2.10f1,71,6976,357,31,1235
*UnityCityView,2019.4.2f1,182,28335,446,34,1194
Let-s-Talk-About-Safety-VR,2021.3.16f1,135,13180,858,13,1155
GOON,2020.3.34f1,218,27282,535,4,1151
Batting-Simulator,2022.3.14f1,27,3287,275,6,1106
VRcade,2021.3.6f1,66,5373,290,33,1055
plane-waver,2021.3.23f1,165,19075,1336,19,1015
XRToolkitMVP,2022.2.13f1,28,2866,227,11,789
6-Unity-VR-FactoryFrenzy,2022.3.15f1,102,10432,1018,8,783
The-Art-Inspector,2021.3.16f1,21,1104,310,3,677
EsACT-IPB-Tour-VR-Project,2020.3.0f1,18,1082,315,1,668
Unity-XR-Interaction-Toolkit-VR-Mechanisms,2020.3.18f1,9,742,209,11,622
0x0B-unity-vr_room,2021.3.3f1,9,256,651,3,609
VR-Unity-Template,2022.3.36f1,38,4527,343,6,567
Arcadium,2020.3.18f1,24,1789,500,9,566
the-hole,2021.3.13f1,7,854,419,8,557
VR_PersonalProject,2021.3.23f1,102,9984,310,2,546
VR-Environment-GenAI-Unity,2022.3.36f1,39,6146,326,5,539
project-god-hammer,2020.3.27f1,134,4123,615,10,532
VR-Hero-Shooter-Controller,2020.3.13f1,31,3892,157,2,487
VR-Learning-Tutorial-Unity,2020.3.19f1,30,2801,302,2,456
HyperFightVR,2021.2.5f1,12,461,214,2,439
Graveyard-Roller-Coaster,2022.3.0f1,28,4376,396,5,423
*VR-Room,2022.3.0f1,65,3660,679,2,414
bworkacikart,2022.2.3f1,24,1652,279,6,413
Solar-System-VR,2022.3.48f1,19,2973,224,3,342
visio,2022.3.4f1,26,2611,306,3,334
simon-says-vr,2022.3.12f1,16,1483,172,4,330
neanderthal-tools,2021.1.10f1,134,7928,509,6,309
SpatialAudioFields,2021.3.25f1,74,19258,366,4,301
*VR-Adventure,2022.3.7f1,11,260,91,2,288
*unity-vr-maze,5.4.1f1,158,25261,212,1,278
VRChess,2019.4.4f1,17,2045,261,4,271
SimpleVR,2019.1.0f2,153,30281,200,1,266
VR-cognitive-therapy,2021.3.11f1,12,1264,99,5,208
SolarSystemExplorer,2022.3.4f1,45,17871,593,3,205
MechaRacer,2021.3.16f1,4,348,58,1,168
Try-Catch-Throw,2019.4.8f1,18,1771,220,2,167
dotpool-unity,2022.3.10f1,6,967,190,3,162
VR-Cooking-Demo,2021.3.14f1,59,5490,801,4,156
VR-Workshop,2020.3.22f1,3,358,191,2,155
*UnityVR,2019.1.10f1,150,24858,330,3,124
Faraday-experiment-VR,2020.3.0f1,10,570,84,2,124
EscapeQuest,2022.3.8f1,80,4312,740,5,123
VR-Teleport-Rotation,2020.2.7f1,106,4634,292,3,112
ar-resilience-planner-v2,2021.3.6f1,32,2798,309,7,100
CMP3754M-virtual-reality-assessment,2020.3.20f1,8,2141,791,4,97
Unity_XR-Quest,2020.3.0f1,2,1330,23,1,47
Szakdoga,2021.3.22f1,19,1236,74,1,44
unity-basic-xr-template,2020.2.1f1,2,266,21,1,19
